FIT Profiler Report
Profile stats for: [LightningModule]LitGIBLi.configure_callbacks
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:55(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:79(stop)
        1    0.000    0.000    0.000    0.000 module.py:934(configure_callbacks)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [LightningDataModule]LitTS40K_FULL_Preprocessed.setup
         284732 function calls (284695 primitive calls) in 0.716 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.716    0.716 lit_ts40k.py:155(setup)
        1    0.001    0.001    0.648    0.648 TS40K.py:931(_build_pyramid)
     11/1    0.000    0.000    0.484    0.484 module.py:1528(_wrapped_call_impl)
     11/1    0.000    0.000    0.484    0.484 module.py:1534(_call_impl)
        1    0.000    0.000    0.484    0.484 GIBLi_utils.py:108(forward)
        1    0.000    0.000    0.484    0.484 _contextlib.py:112(decorate_context)
        1    0.000    0.000    0.484    0.484 GIBLi_utils.py:252(build_grid_graph_pyramid)
       10    0.000    0.000    0.259    0.026 GIBLi_utils.py:54(forward)
       10    0.000    0.000    0.259    0.026 neighbors.py:50(__call__)
       10    0.000    0.000    0.259    0.026 knn.py:15(__call__)
       10    0.000    0.000    0.259    0.026 knn.py:99(keops_knn)
       10    0.000    0.000    0.258    0.026 lazy_tensor.py:2462(Kmin_argKmin)
       10    0.000    0.000    0.258    0.026 lazy_tensor.py:648(reduction)
       10    0.000    0.000    0.257    0.026 lazy_tensor.py:900(__call__)
       10    0.000    0.000    0.257    0.026 generic_red.py:544(__call__)
       10    0.000    0.000    0.254    0.025 generic_red.py:382(GenredAutograd_fun)
       10    0.000    0.000    0.254    0.025 function.py:582(apply)
       10    0.000    0.000    0.253    0.025 {built-in method apply}
       10    0.000    0.000    0.250    0.025 generic_red.py:289(forward)
       10    0.000    0.000    0.250    0.025 generic_red.py:71(_forward)
       10    0.000    0.000    0.250    0.025 LoadKeOps.py:177(genred)
       10    0.249    0.025    0.249    0.025 LoadKeOps_nvrtc.py:47(call_keops)
        3    0.000    0.000    0.225    0.075 query_points_strat.py:31(__call__)
        3    0.189    0.063    0.225    0.075 grid_poooling.py:22(__call__)
      486    0.004    0.000    0.111    0.000 TS40K.py:954(<listcomp>)
     2268    0.087    0.000    0.087    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.068    0.068 TS40K.py:890(__init__)
        3    0.009    0.003    0.061    0.020 TS40K.py:912(<listcomp>)
        3    0.007    0.002    0.035    0.012 grid_poooling.py:311(grid_pooling_pack_mode)
     2269    0.032    0.000    0.032    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    32469    0.020    0.000    0.030    0.000 posixpath.py:71(join)
        1    0.001    0.001    0.023    0.023 TS40K.py:942(<listcomp>)
      162    0.000    0.000    0.022    0.000 TS40K.py:974(__getitem__)
    16233    0.004    0.000    0.022    0.000 genericpath.py:27(isfile)
      162    0.001    0.000    0.022    0.000 serialization.py:865(load)
    16373    0.017    0.000    0.017    0.000 {built-in method posix.stat}
      162    0.002    0.000    0.015    0.000 serialization.py:1338(_load)
      162    0.001    0.000    0.013    0.000 {method 'load' of '_pickle.Unpickler' objects}
      162    0.001    0.000    0.013    0.000 TS40K.py:956(<listcomp>)
      324    0.000    0.000    0.010    0.000 serialization.py:1399(persistent_load)
      162    0.007    0.000    0.009    0.000 serialization.py:1372(load_tensor)
        1    0.007    0.007    0.007    0.007 {built-in method torch.stack}
      489    0.006    0.000    0.006    0.000 {built-in method torch.cat}
      486    0.006    0.000    0.006    0.000 {method 'amin' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.006    0.006 memory.py:150(empty_cache)
        1    0.006    0.006    0.006    0.006 {built-in method torch._C._cuda_emptyCache}
    32469    0.003    0.000    0.005    0.000 posixpath.py:41(_get_sep)
       16    0.004    0.000    0.004    0.000 {method 'long' of 'torch._C.TensorBase' objects}
      486    0.004    0.000    0.004    0.000 {built-in method torch.full_like}
       10    0.000    0.000    0.004    0.000 operations.py:38(postprocess)
        3    0.003    0.001    0.003    0.001 {built-in method posix.listdir}
       10    0.000    0.000    0.003    0.000 utils.py:60(long)
        4    0.003    0.001    0.003    0.001 {method 'cuda' of 'torch._C.TensorBase' objects}
      6/3    0.000    0.000    0.003    0.001 _jit_internal.py:487(fn)
        3    0.000    0.000    0.003    0.001 functional.py:760(_unique_impl)
        3    0.003    0.001    0.003    0.001 {built-in method torch._unique2}
      162    0.003    0.000    0.003    0.000 serialization.py:455(__init__)
      489    0.003    0.000    0.003    0.000 {method 'item' of 'torch._C.TensorBase' objects}
        1    0.002    0.002    0.002    0.002 {built-in method numpy.array}
    32480    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.002    0.000 traceback.py:61(format_stack)
        3    0.002    0.001    0.002    0.001 grid_poooling.py:325(ravel_hash_func)
    32476    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
