WKT,Layer,PaperSpace,SubClasses,Linetype,EntityHandle,Text
"LINESTRING (546414.010101 4485370.03731,546291.618441 4485496.615919,546174.972002 4485617.300167,546265.656583 4485596.844886,546284.396344 4485561.327699)",01_Tower_string,,AcDbEntity:AcDbPolyline,,43D,
"LINESTRING (546174.972002 4485617.300167,546024.545349 4485772.918554,546026.137714 4485822.816414)",01_Tower_string,,AcDbEntity:AcDbPolyline,,43E,
"LINESTRING (546024.545349 4485772.918554,545827.276407 4485991.210682,545669.012831 4486166.278754,545705.393139 4486135.468724)",01_Tower_string,,AcDbEntity:AcDbPolyline,,43F,
"LINESTRING (545669.012831 4486166.278754,545691.141556 4486171.422897,545743.425351 4486184.433566,545753.951611 4486216.851497)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"440",
"LINESTRING (545743.425351 4486184.433566,545870.725696 4486215.661415,545997.250214 4486187.356788,546111.598288 4486158.397096,546137.846573 4486155.286684)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"441",
"LINESTRING (546111.598288 4486158.397096,546168.348186 4486072.192608,546226.329198 4486118.526453)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"442",
"LINESTRING (545669.012831 4486166.278754,545511.217366 4486330.990088,545472.552093 4486391.532738,545500.098844 4486423.722785,545567.360073 4486493.261769)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"443",
"LINESTRING (545511.217366 4486330.990088,545287.964474 4486563.688854,545317.437264 4486575.088377,545523.553018 4486724.365032,545728.078113 4486871.579598,545996.174698 4487065.007018,546123.315099 4487089.705915,546202.417195 4487105.516128)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"444",
"LINESTRING (545287.964474 4486563.688854,545130.396139 4486736.842043,544988.810778 4486892.086466,545037.889923 4487010.855586)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"445",
"LINESTRING (544988.810778 4486892.086466,544869.194294 4487023.003114,544834.324658 4487061.700271,544649.181359 4487263.979805,544624.691671 4487299.224926)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"446",
"LINESTRING (544649.181359 4487263.979805,544464.406198 4487431.87297,544372.369732 4487515.442471,544152.660597 4487715.675403,543877.657325 4487965.548473,543750.831969 4488080.626178,543471.607216 4488334.592781,543396.163166 4488589.33891,543348.393596 4488752.440657,543341.029791 4488783.292142)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"447",
"LINESTRING (543348.393596 4488752.440657,543301.416141 4488892.252223,543241.211596 4489069.162382,543223.440145 4489121.584441)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"448",
"LINESTRING (544430.661971 4487398.432272,544464.406198 4487431.87297,544482.886823 4487506.628511,544535.876964 4487509.739679)",01_Tower_string,,AcDbEntity:AcDbPolyline,,"449",
"LINESTRING (544482.886823 4487506.628511,544461.996766 4487579.766306)",01_Tower_string,,AcDbEntity:AcDbPolyline,,44A,
